currency,risk,ticker,weight
USD,7.0,VDC,0.09811096160876491
USD,7.0,VNQ,0.0
USD,7.0,VOX,0.0
USD,7.0,VPU,0.0
USD,7.0,VWO,0.0
USD,7.0,XLB,0.0
USD,7.0,XLI,0.0
USD,7.0,^BSESN,0.0
USD,7.0,EUR,0.0
USD,7.0,SGD,0.0
USD,7.0,USD,0.0
USD,8.0,399001.SZ,0.058226173540124306
USD,8.0,AGG,0.0
USD,8.0,BBH,0.09563859391729562
USD,8.0,DBC,0.0
USD,8.0,EPP,0.0
USD,8.0,EWH,0.0
USD,8.0,EWJ,0.0
USD,8.0,EWM,0.0
USD,8.0,EWO,0.0
USD,8.0,EWS,0.0
USD,8.0,EWT,0.0
USD,8.0,EWW,0.0
USD,8.0,EZA,0.0
USD,8.0,FXI,0.0
USD,8.0,GLD,0.3421350847977763
USD,8.0,IBB,0.0
USD,8.0,IEF,0.0
USD,8.0,ILF,0.0
USD,8.0,IXJ,0.0
USD,8.0,IXP,0.0
USD,8.0,IYE,0.0
USD,8.0,IYG,0.0
USD,8.0,IYT,0.0
USD,8.0,LQD,0.0
USD,8.0,PA=F,0.03442616240331055
USD,8.0,PBJ,0.0
USD,8.0,PBW,-0.0691080551397207
USD,8.0,PEJ,0.0
USD,8.0,SHY,0.0
USD,8.0,SI=F,0.0
USD,8.0,SMH,0.39779205225944847
USD,8.0,TIP,0.0
USD,8.0,VDC,0.0026738779423240333
USD,8.0,VNQ,0.0
USD,8.0,VOX,0.0
USD,8.0,VPU,0.0
USD,8.0,VWO,0.0
USD,8.0,XLB,0.0
USD,8.0,XLI,0.0
USD,8.0,XLY,0.0
USD,8.0,^BSESN,0.0
USD,8.0,EUR,0.0
USD,8.0,SGD,0.0
USD,8.0,USD,0.0
USD,9.0,399001.SZ,0.03717146360901185
USD,9.0,AGG,0.0
USD,9.0,BBH,0.134674349173756
USD,9.0,DBC,0.0
USD,9.0,EPP,0.0
USD,9.0,EWH,0.0
USD,9.0,EWJ,0.0
USD,9.0,EWM,0.0
USD,9.0,EWO,0.0
USD,9.0,EWS,0.0
USD,9.0,EWT,0.0
USD,9.0,EWW,0.0
USD,9.0,EWZ,0.0
USD,9.0,EZA,0.0
USD,9.0,FXI,0.0
USD,9.0,GLD,0.22043412864564316
USD,9.0,IBB,0.0
USD,9.0,IEF,0.0
USD,9.0,ISCV,0.0
USD,9.0,IXJ,0.0
USD,9.0,IXP,0.0
USD,9.0,IYE,0.0
USD,9.0,IYG,0.0
USD,9.0,IYT,0.0
USD,9.0,LQD,0.0
USD,9.0,PA=F,0.05651666016326241
USD,9.0,PBJ,0.0
USD,9.0,PBW,0.0
USD,9.0,PEJ,0.0
USD,9.0,SHY,0.0
USD,9.0,SI=F,0.1213601688022569
USD,9.0,SOXX,0.42984322960606974
USD,9.0,TIP,0.0
USD,9.0,VDC,0.0
USD,9.0,VNQ,0.0
USD,9.0,VOX,0.0
USD,9.0,VPU,0.0
USD,9.0,VWO,0.0
USD,9.0,XLB,0.0
USD,9.0,XLY,0.0
USD,9.0,^BSESN,0.0
USD,9.0,EUR,0.0
USD,9.0,SGD,0.0
USD,9.0,USD,0.0
USD,10.0,399001.SZ,0.0
USD,10.0,AGG,0.0
USD,10.0,BBH,0.0
USD,10.0,DBC,0.0
USD,10.0,EPP,0.0
USD,10.0,EWH,0.0
USD,10.0,EWJ,0.0
USD,10.0,EWM,0.0
USD,10.0,EWO,0.0
USD,10.0,EWS,0.0
USD,10.0,EWT,0.0
USD,10.0,EWW,0.0
USD,10.0,EWZ,0.0
USD,10.0,EZA,0.0
USD,10.0,FXI,0.0
USD,10.0,GLD,0.0
USD,10.0,IBB,0.0
USD,10.0,IEF,0.0
USD,10.0,IJS,0.0
USD,10.0,IXJ,0.0
USD,10.0,IXP,0.0
USD,10.0,IYG,0.0
USD,10.0,IYT,0.0
USD,10.0,LQD,0.0
USD,10.0,OIH,0.0
USD,10.0,PA=F,0.05018040658394906
USD,10.0,PBJ,0.0
USD,10.0,PBW,0.0
USD,10.0,PEJ,0.0
USD,10.0,SHY,0.0
USD,10.0,SI=F,0.22809882585686037
USD,10.0,SOXX,0.7217207675591906
USD,10.0,TIP,0.0
USD,10.0,VDC,0.0
USD,10.0,VNQ,0.0
USD,10.0,VOX,0.0
USD,10.0,VPU,0.0
USD,10.0,VWO,0.0
USD,10.0,XLB,0.0
USD,10.0,XLY,0.0
USD,10.0,^BSESN,0.0
USD,10.0,EUR,0.0
USD,10.0,SGD,0.0
USD,10.0,USD,0.0
EUR,0.0,399001.SZ,0.0016048912909894263
EUR,0.0,AGG,0.0
EUR,0.0,BBH,0.0006366384113639114
EUR,0.0,DBC,0.0
EUR,0.0,EWC,0.0
EUR,0.0,EWH,0.0008646348875840635
EUR,0.0,EWJ,-0.001166048969079119
EUR,0.0,EWK,-0.0007324553800594176
EUR,0.0,EWL,0.0
EUR,0.0,EWM,0.0
EUR,0.0,EWN,0.0
EUR,0.0,EWO,0.0005121747835151355
EUR,0.0,EWP,0.0016294615010844418
EUR,0.0,EWS,0.0
EUR,0.0,EWT,0.0
EUR,0.0,EWW,0.0
EUR,0.0,EWY,0.0
EUR,0.0,EZA,0.0
EUR,0.0,FXE,0.0
EUR,0.0,FXI,0.0
EUR,0.0,GLD,0.0062490325893154565
EUR,0.0,IBB,0.0
EUR,0.0,IGE,0.0
EUR,0.0,ILF,0.0
EUR,0.0,IXP,0.0
EUR,0.0,IYF,0.0
EUR,0.0,IYR,0.0
EUR,0.0,IYT,0.0
EUR,0.0,LQD,0.0
EUR,0.0,PA=F,0.0003289919997031271
EUR,0.0,PBW,-0.002695625306306133
EUR,0.0,PEJ,0.0
